country,population_value,yearly_change,land_area,migrants,med_age
China,1440297825,0.39,9388211,-348399.0,38
India,1382345085,0.99,2973190,-532687.0,28
United States,331341050,0.59,9147420,954806.0,38
Indonesia,274021604,1.07,1811570,-98955.0,30
Pakistan,221612785,2.00,770880,-233379.0,23
Brazil,212821986,0.72,8358140,21200.0,33
Nigeria,206984347,2.58,910770,-60000.0,18
Bangladesh,164972348,1.01,130170,-369501.0,28
Russia,145945524,0.04,16376870,182456.0,40
Mexico,129166028,1.06,1943950,-60000.0,29
Japan,126407422,-0.30,364555,71560.0,48
Ethiopia,115434444,2.57,1000000,30000.0,19
Philippines,109830324,1.35,298170,-67152.0,26
Egypt,102659126,1.94,995450,-38033.0,25
Vietnam,97490013,0.91,310070,-80000.0,32
DR Congo,90003954,3.19,2267050,23861.0,17
Turkey,84495243,1.09,769630,283922.0,32
Iran,84176929,1.30,1628550,-55000.0,32
Germany,83830972,0.32,348560,543822.0,46
Thailand,69830779,0.25,510890,19444.0,40
United Kingdom,67948282,0.53,241930,260650.0,40
France,65298930,0.22,547557,36527.0,42
Italy,60446035,-0.15,294140,148943.0,47
Tanzania,60012400,2.98,885800,-40076.0,18
South Africa,59436725,1.28,1213090,145405.0,28
Myanmar,54473253,0.67,653290,-163313.0,29
Kenya,53968739,2.28,569140,-10000.0,20
South Korea,51276977,0.09,97230,11731.0,44
Colombia,50976248,1.08,1109500,204796.0,31
Spain,46757980,0.04,498800,40000.0,45
Uganda,45974931,3.32,199810,168694.0,17
Argentina,45267449,0.93,2736690,4800.0,32
Algeria,43984569,1.85,2381740,-10000.0,29
Sudan,44019263,2.42,1765048,-50000.0,20
Ukraine,43686577,-0.59,579320,10000.0,41
Iraq,40372771,2.32,434320,7834.0,21
Afghanistan,39074280,2.33,652860,-62920.0,18
Poland,37839255,-0.11,306230,-29395.0,42
Canada,37799407,0.89,9093510,242032.0,41
Morocco,36985624,1.20,446300,-51419.0,30
Saudi Arabia,34905942,1.59,2149690,134979.0,32
Uzbekistan,33551824,1.48,425400,-8863.0,28
Peru,33050211,1.42,1280000,99069.0,31
Angola,33032075,3.27,1246700,6413.0,17
Malaysia,32436963,1.30,328550,50000.0,30
Mozambique,31398811,2.93,786380,-5000.0,18
Ghana,31181428,2.15,227540,-10000.0,22
Yemen,29935468,2.28,527970,-30000.0,20
Nepal,29225196,1.85,143350,41710.0,25
Venezuela,28421581,-0.28,882050,-653249.0,30
Madagascar,27808395,2.68,581795,-1500.0,20
Cameroon,26655083,2.59,472710,-4800.0,19
Côte d'Ivoire,26486282,2.57,318000,-8000.0,19
North Korea,25798588,0.44,120410,-5403.0,35
Australia,25550683,1.18,7682300,158246.0,38
Niger,24346468,3.84,1266700,4000.0,15
Taiwan,23824369,0.18,35410,30001.0,42
Sri Lanka,21428970,0.42,62710,-97986.0,34
Burkina Faso,20997293,2.86,273600,-25000.0,18
Mali,20346106,3.02,1220190,-40000.0,16
Romania,19214608,-0.66,230170,-73999.0,43
Malawi,19211425,2.69,94280,-16053.0,18
Chile,19144605,0.87,743532,111708.0,35
Kazakhstan,18815231,1.21,2699700,-18000.0,31
Zambia,18468257,2.93,743390,-8000.0,18
Guatemala,17971382,1.90,107160,-9215.0,23
Ecuador,17688599,1.55,248360,36400.0,28
Syria,17571053,2.52,183630,-427391.0,26
Netherlands,17141544,0.22,33720,16000.0,43
Senegal,16816539,2.75,192530,-20000.0,19
Cambodia,16758448,1.41,176520,-30000.0,26
Chad,16502877,3.00,1259200,2000.0,17
Somalia,15965848,2.92,627340,-40000.0,17
Zimbabwe,14899771,1.48,386850,-116858.0,19
Guinea,13191279,2.83,245720,-4000.0,18
Rwanda,13005303,2.58,24670,-9000.0,20
Benin,12175480,2.73,112760,-2000.0,19
Burundi,11948454,3.12,25680,2001.0,17
Tunisia,11839918,1.06,155360,-4000.0,33
Bolivia,11700207,1.39,1083300,-9504.0,26
Belgium,11598451,0.44,30280,48000.0,42
Haiti,11426356,1.24,27560,-35000.0,24
Cuba,11325391,-0.06,106440,-14400.0,42
South Sudan,11216250,1.19,610952,-174200.0,19
Dominican Republic,10866667,1.01,48320,-30000.0,28
Czech Republic (Czechia),10712481,0.18,77240,22011.0,43
Greece,10413936,-0.48,128900,-16000.0,46
Jordan,10220604,1.00,88780,10220.0,24
Portugal,10191409,-0.29,91590,-6000.0,46
Azerbaijan,10154978,0.91,82658,1200.0,32
Sweden,10110233,0.63,410340,40000.0,41
Honduras,9931333,1.63,111890,-6800.0,24
United Arab Emirates,9910892,1.23,83600,40000.0,33
Hungary,9655983,-0.25,90530,6000.0,43
Tajikistan,9573310,2.32,139960,-20000.0,22
Belarus,9448772,-0.03,202910,8730.0,40
Austria,9015361,0.57,82409,65000.0,43
Papua New Guinea,8975531,1.95,452860,-800.0,22
Serbia,8731081,-0.40,87460,4000.0,42
Israel,8678517,1.60,21640,10000.0,30
Switzerland,8665615,0.74,39516,52000.0,43
Togo,8310934,2.43,54390,-2000.0,19
Sierra Leone,8004158,2.10,72180,-4200.0,19
Hong Kong,7507523,0.82,1050,29308.0,45
Laos,7293542,1.48,230800,-14704.0,24
Paraguay,7147553,1.25,397300,-16556.0,26
Bulgaria,6939018,-0.74,108560,-4800.0,45
Libya,6887247,1.38,1759540,-1999.0,29
Lebanon,6819976,-0.44,10230,-30012.0,30
Nicaragua,6638075,1.21,120340,-21272.0,26
Kyrgyzstan,6542426,1.69,191800,-4000.0,26
El Salvador,6491923,0.51,20720,-40539.0,28
Turkmenistan,6046292,1.50,469930,-5000.0,27
Singapore,5858322,0.79,700,27028.0,42
Denmark,5795780,0.35,42430,15200.0,42
Finland,5542237,0.15,303890,14000.0,43
Congo,5540555,2.56,341500,-4000.0,19
Slovakia,5460109,0.05,48088,1485.0,41
Norway,5428594,0.79,365268,28000.0,40
Oman,5128058,2.65,309500,87400.0,31
State of Palestine,5121112,2.41,6020,-10563.0,21
Costa Rica,5102158,0.92,51060,4200.0,33
Liberia,5077411,2.44,96320,-5000.0,19
Ireland,4947267,1.13,68890,23604.0,38
Central African Republic,4843954,1.78,622980,-40000.0,18
New Zealand,4829021,0.82,263310,14881.0,38
Mauritania,4669775,2.74,1030700,5000.0,20
Panama,4326296,1.61,74340,11200.0,30
Kuwait,4281320,1.51,17820,39520.0,37
Croatia,4100719,-0.61,55960,-8001.0,44
Moldova,4032294,-0.23,32850,-1387.0,38
Georgia,3987805,-0.19,69490,-10000.0,38
Eritrea,3554797,1.41,101000,-39858.0,19
Uruguay,3475842,0.35,175020,-3000.0,36
Bosnia and Herzegovina,3277152,-0.61,51000,-21585.0,43
Mongolia,3287242,1.65,1553560,-852.0,28
Armenia,2964219,0.19,28470,-4998.0,35
Jamaica,2963429,0.44,10830,-11332.0,31
Qatar,2889284,1.73,11610,40000.0,32
Albania,2877239,-0.11,27400,-14000.0,36
Puerto Rico,2846860,-2.47,8870,-97986.0,44
Lithuania,2715340,-1.35,62674,-32780.0,45
Namibia,2548663,1.86,823290,-4806.0,22
Gambia,2427782,2.94,10120,-3087.0,18
Botswana,2359585,2.08,566730,3000.0,24
Gabon,2234448,2.45,257670,3260.0,23
Lesotho,2145194,0.80,30360,-10047.0,24
North Macedonia,2083359,0.00,25220,-1000.0,39
Slovenia,2078989,0.01,20140,2000.0,45
Guinea-Bissau,1975718,2.45,28120,-1399.0,19
Latvia,1882408,-1.08,62200,-14837.0,44
Bahrain,1711057,3.68,760,47800.0,32
Equatorial Guinea,1410419,3.47,28050,16000.0,22
Trinidad and Tobago,1400283,0.32,5130,-800.0,36
Estonia,1326693,0.07,42390,3911.0,42
Timor-Leste,1322667,1.96,14870,-5385.0,21
Mauritius,1272140,0.17,2030,0.0,37
Cyprus,1208886,0.73,9240,5000.0,37
Eswatini,1162233,1.05,17200,-8353.0,21
Djibouti,990447,1.48,23180,900.0,27
Fiji,897573,0.73,18270,-6202.0,28
Réunion,896422,0.72,2500,-1256.0,36
Comoros,872695,2.20,1861,-2000.0,20
Guyana,787215,0.48,196850,-6000.0,27
Bhutan,773069,1.12,38117,320.0,28
Solomon Islands,689671,2.55,27990,-1600.0,20
Macao,650846,1.39,30,5000.0,39
Montenegro,628080,0.01,13450,-480.0,39
Luxembourg,627704,1.66,2590,9741.0,40
Western Sahara,599769,2.55,266000,5582.0,28
Suriname,587541,0.90,156000,-1000.0,29
Cabo Verde,557026,1.10,4030,-1342.0,28
Maldives,542151,1.81,300,11370.0,30
Malta,441750,0.27,320,900.0,43
Brunei,438202,0.97,5270,0.0,32
Guadeloupe,400136,0.02,1690,-1440.0,44
Belize,398845,1.86,22810,1200.0,25
Bahamas,393893,0.97,10010,1000.0,32
Martinique,375213,-0.08,1060,-960.0,47
Iceland,341628,0.65,100250,380.0,37
Vanuatu,308337,2.42,12190,120.0,21
French Guiana,299958,2.70,82200,1200.0,25
Barbados,287437,0.12,430,-79.0,40
New Caledonia,285972,0.97,18280,502.0,34
French Polynesia,281191,0.58,3660,-1000.0,34
Mayotte,273905,2.50,375,0.0,20
Sao Tome & Principe,219844,1.91,960,-1680.0,19
Samoa,198643,0.67,2830,-2803.0,22
Saint Lucia,183774,0.46,610,0.0,34
Channel Islands,174140,0.93,190,1351.0,43
Guam,169031,0.89,540,-506.0,31
Curaçao,164211,0.41,444,515.0,42
Kiribati,119760,1.57,810,-800.0,23
Micronesia,115231,1.06,700,-600.0,24
Grenada,112614,0.46,340,-200.0,32
St. Vincent & Grenadines,111002,0.32,390,-200.0,33
Aruba,106845,0.43,180,201.0,41
Tonga,105901,1.15,720,-800.0,22
U.S. Virgin Islands,104398,-0.15,350,-451.0,43
Seychelles,98453,0.62,460,-200.0,34
Antigua and Barbuda,98069,0.84,440,0.0,34
Isle of Man,85112,0.53,570,,N.A.
Andorra,77287,0.16,470,,N.A.
Dominica,72017,0.25,750,,N.A.
Cayman Islands,65854,1.19,240,,N.A.
Bermuda,62237,-0.36,50,,N.A.
Marshall Islands,59259,0.68,180,,N.A.
Northern Mariana Islands,57619,0.60,460,,N.A.
Greenland,56787,0.17,410450,,N.A.
American Samoa,55169,-0.22,200,,N.A.
Saint Kitts & Nevis,53264,0.71,260,,N.A.
Faeroe Islands,48896,0.38,1396,,N.A.
Sint Maarten,42960,1.15,34,,N.A.
Monaco,39290,0.71,1,,N.A.
Turks and Caicos,38806,1.38,950,,N.A.
Saint Martin,38778,1.75,53,,N.A.
Liechtenstein,38147,0.29,160,,N.A.
San Marino,33944,0.21,60,,N.A.
Gibraltar,33689,-0.03,10,,N.A.
British Virgin Islands,30266,0.67,150,,N.A.
Caribbean Netherlands,26265,0.94,328,,N.A.
Palau,18109,0.48,460,,N.A.
Cook Islands,17567,0.09,240,,N.A.
Anguilla,15026,0.90,90,,N.A.
Tuvalu,11817,1.25,30,,N.A.
Wallis & Futuna,11203,-1.69,140,,N.A.
Nauru,10836,0.63,20,,N.A.
Saint Barthelemy,9882,0.30,21,,N.A.
Saint Helena,6080,0.30,390,,N.A.
Saint Pierre & Miquelon,5789,-0.48,230,,N.A.
Montserrat,4993,0.06,100,,N.A.
Falkland Islands,3497,3.05,12170,,N.A.
Niue,1628,0.68,260,,N.A.
Tokelau,1360,1.27,10,,N.A.
Holy See,801,0.25,0,,N.A.
